frequency,180*cph(v(vout))/pi
1.00000000e+00,1.41396626e+00
1.12201845e+00,1.58641286e+00
1.25892541e+00,1.77986676e+00
1.41253754e+00,1.99687708e+00
1.58489319e+00,2.24029815e+00
1.77827941e+00,2.51332436e+00
1.99526231e+00,2.81952830e+00
2.23872114e+00,3.16290215e+00
2.51188643e+00,3.54790219e+00
2.81838293e+00,3.97949611e+00
3.16227766e+00,4.46321220e+00
3.54813389e+00,5.00518938e+00
3.98107171e+00,5.61222598e+00
4.46683592e+00,6.29182433e+00
5.01187234e+00,7.05222690e+00
5.62341325e+00,7.90243779e+00
6.30957344e+00,8.85222115e+00
7.07945784e+00,9.91206487e+00
7.94328235e+00,1.10930944e+01
8.91250938e+00,1.24069177e+01
1.00000000e+01,1.38653768e+01
1.12201845e+01,1.54801802e+01
1.25892541e+01,1.72623874e+01
1.41253754e+01,1.92217211e+01
1.58489319e+01,2.13656944e+01
1.77827941e+01,2.36985643e+01
1.99526231e+01,2.62201602e+01
2.23872114e+01,2.89246884e+01
2.51188643e+01,3.17996750e+01
2.81838293e+01,3.48252587e+01
3.16227766e+01,3.79740653e+01
3.54813389e+01,4.12118524e+01
3.98107171e+01,4.44990003e+01
4.46683592e+01,4.77927509e+01
5.01187234e+01,5.10499182e+01
5.62341325e+01,5.42296636e+01
6.30957344e+01,5.72959152e+01
7.07945784e+01,6.02191052e+01
7.94328235e+01,6.29770706e+01
8.91250938e+01,6.55551457e+01
1.00000000e+02,6.79456073e+01
1.12201845e+02,7.01467001e+01
1.25892541e+02,7.21614635e+01
1.41253754e+02,7.39965392e+01
1.58489319e+02,7.56610793e+01
1.77827941e+02,7.71658183e+01
1.99526231e+02,7.85223295e+01
2.23872114e+02,7.97424597e+01
2.51188643e+02,8.08379190e+01
2.81838293e+02,8.18199996e+01
3.16227766e+02,8.26993951e+01
3.54813389e+02,8.34860952e+01
3.98107171e+02,8.41893364e+01
4.46683592e+02,8.48175914e+01
5.01187234e+02,8.53785838e+01
5.62341325e+02,8.58793216e+01
6.30957344e+02,8.63261389e+01
7.07945784e+02,8.67247443e+01
7.94328235e+02,8.70802705e+01
8.91250938e+02,8.73973240e+01
1.00000000e+03,8.76800332e+01
1.12201845e+03,8.79320936e+01
1.25892541e+03,8.81568103e+01
1.41253754e+03,8.83571371e+01
1.58489319e+03,8.85357124e+01
1.77827941e+03,8.86948916e+01
1.99526231e+03,8.88367770e+01
2.23872114e+03,8.89632442e+01
2.51188643e+03,8.90759665e+01
2.81838293e+03,8.91764360e+01
3.16227766e+03,8.92659834e+01
3.54813389e+03,8.93457951e+01
3.98107171e+03,8.94169290e+01
4.46683592e+03,8.94803280e+01
5.01187234e+03,8.95368328e+01
5.62341325e+03,8.95871928e+01
6.30957344e+03,8.96320758e+01
7.07945784e+03,8.96720773e+01
7.94328235e+03,8.97077278e+01
8.91250938e+03,8.97395002e+01
1.00000000e+04,8.97678162e+01
1.12201845e+04,8.97930514e+01
1.25892541e+04,8.98155407e+01
1.41253754e+04,8.98355823e+01
1.58489319e+04,8.98534422e+01
1.77827941e+04,8.98693575e+01
1.99526231e+04,8.98835392e+01
2.23872114e+04,8.98961756e+01
2.51188643e+04,8.99074343e+01
2.81838293e+04,8.99174647e+01
3.16227766e+04,8.99264000e+01
3.54813389e+04,8.99343586e+01
3.98107171e+04,8.99414462e+01
4.46683592e+04,8.99477568e+01
5.01187234e+04,8.99533742e+01
5.62341325e+04,8.99583729e+01
6.30957344e+04,8.99628192e+01
7.07945784e+04,8.99667722e+01
7.94328235e+04,8.99702842e+01
8.91250938e+04,8.99734020e+01
1.00000000e+05,8.99761668e+01
1.12201845e+05,8.99786153e+01
1.25892541e+05,8.99807801e+01
1.41253754e+05,8.99826898e+01
1.58489319e+05,8.99843699e+01
1.77827941e+05,8.99858425e+01
1.99526231e+05,8.99871273e+01
2.23872114e+05,8.99882413e+01
2.51188643e+05,8.99891993e+01
2.81838293e+05,8.99900139e+01
3.16227766e+05,8.99906960e+01
3.54813389e+05,8.99912547e+01
3.98107171e+05,8.99916973e+01
4.46683592e+05,8.99920297e+01
5.01187234e+05,8.99922564e+01
5.62341325e+05,8.99923803e+01
6.30957344e+05,8.99924032e+01
7.07945784e+05,8.99923252e+01
7.94328235e+05,8.99921453e+01
8.91250938e+05,8.99918613e+01
1.00000000e+06,8.99914692e+01
1.12201845e+06,8.99909640e+01
1.25892541e+06,8.99903388e+01
1.41253754e+06,8.99895855e+01
1.58489319e+06,8.99886939e+01
1.77827941e+06,8.99876523e+01
1.99526231e+06,8.99864469e+01
2.23872114e+06,8.99850616e+01
2.51188643e+06,8.99834781e+01
2.81838293e+06,8.99816753e+01
3.16227766e+06,8.99796294e+01
3.54813389e+06,8.99773131e+01
3.98107171e+06,8.99746957e+01
4.46683592e+06,8.99717425e+01
5.01187234e+06,8.99684142e+01
5.62341325e+06,8.99646667e+01
6.30957344e+06,8.99604501e+01
7.07945784e+06,8.99557084e+01
7.94328235e+06,8.99503787e+01
8.91250938e+06,8.99443899e+01
1.00000000e+07,8.99376625e+01
1.12201845e+07,8.99301068e+01
1.25892541e+07,8.99216221e+01
1.41253754e+07,8.99120952e+01
1.58489319e+07,8.99013989e+01
1.77827941e+07,8.98893899e+01
1.99526231e+07,8.98759072e+01
2.23872114e+07,8.98607694e+01
2.51188643e+07,8.98437722e+01
2.81838293e+07,8.98246853e+01
3.16227766e+07,8.98032487e+01
3.54813389e+07,8.97791689e+01
3.98107171e+07,8.97521135e+01
4.46683592e+07,8.97217059e+01
5.01187234e+07,8.96875188e+01
5.62341325e+07,8.96490661e+01
6.30957344e+07,8.96057939e+01
7.07945784e+07,8.95570706e+01
7.94328235e+07,8.95021744e+01
8.91250938e+07,8.94402801e+01
1.00000000e+08,8.93704446e+01
1.12201845e+08,8.92915910e+01
1.25892541e+08,8.92024919e+01
1.41253754e+08,8.91017518e+01
1.58489319e+08,8.89877883e+01
1.77827941e+08,8.88588118e+01
1.99526231e+08,8.87128019e+01
2.23872114e+08,8.85474804e+01
2.51188643e+08,8.83602806e+01
2.81838293e+08,8.81483151e+01
3.16227766e+08,8.79083462e+01
3.54813389e+08,8.76367618e+01
3.98107171e+08,8.73295608e+01
4.46683592e+08,8.69823485e+01
5.01187234e+08,8.65903336e+01
5.62341325e+08,8.61483217e+01
6.30957344e+08,8.56506918e+01
7.07945784e+08,8.50913518e+01
7.94328235e+08,8.44636704e+01
8.91250938e+08,8.37603969e+01
1.00000000e+09,8.29735798e+01
1.12201845e+09,8.20945032e+01
1.25892541e+09,8.11136572e+01
1.41253754e+09,8.00207571e+01
1.58489319e+09,7.88048287e+01
1.77827941e+09,7.74543761e+01
1.99526231e+09,7.59576534e+01
2.23872114e+09,7.43030638e+01
2.51188643e+09,7.24797121e+01
2.81838293e+09,7.04781326e+01
3.16227766e+09,6.82911995e+01
3.54813389e+09,6.59152058e+01
3.98107171e+09,6.33510517e+01
4.46683592e+09,6.06054338e+01
5.01187234e+09,5.76918629e+01
5.62341325e+09,5.46312924e+01
6.30957344e+09,5.14521292e+01
7.07945784e+09,4.81894516e+01
7.94328235e+09,4.48833832e+01
8.91250938e+09,4.15767518e+01
1.00000000e+10,3.83123378e+01
1.12201845e+10,3.51301259e+01
1.25892541e+10,3.20649769e+01
1.41253754e+10,2.91450184e+01
1.58489319e+10,2.63908788e+01
1.77827941e+10,2.38157105e+01
1.99526231e+10,2.14258251e+01
2.23872114e+10,1.92217098e+01
2.51188643e+10,1.71992098e+01
2.81838293e+10,1.53507048e+01
3.16227766e+10,1.36661706e+01
3.54813389e+10,1.21340701e+01
3.98107171e+10,1.07420595e+01
4.46683592e+10,9.47751718e+00
5.01187234e+10,8.32792138e+00
5.62341325e+10,7.28110241e+00
6.30957344e+10,6.32539785e+00
7.07945784e+10,5.44973430e+00
7.94328235e+10,4.64365582e+00
8.91250938e+10,3.89731480e+00
1.00000000e+11,3.20143749e+00
1.12201845e+11,2.54727329e+00
1.25892541e+11,1.92653473e+00
1.41253754e+11,1.33133354e+00
1.58489319e+11,7.54116830e-01
1.77827941e+11,1.87607279e-01
1.99526231e+11,-3.75249071e-01
2.23872114e+11,-9.41323281e-01
2.51188643e+11,-1.51732726e+00
2.81838293e+11,-2.10981441e+00
3.16227766e+11,-2.72514910e+00
3.54813389e+11,-3.36943450e+00
3.98107171e+11,-4.04838626e+00
4.46683592e+11,-4.76713714e+00
5.01187234e+11,-5.52995681e+00
5.62341325e+11,-6.33987241e+00
6.30957344e+11,-7.19818093e+00
7.07945784e+11,-8.10385695e+00
7.94328235e+11,-9.05288093e+00
8.91250938e+11,-1.00375457e+01
1.00000000e+12,-1.10458407e+01
