frequency,v(vout)
1.00000000e+00,3.07982107e-09
1.12201845e+00,3.07982107e-09
1.25892541e+00,3.07982107e-09
1.41253754e+00,3.07982107e-09
1.58489319e+00,3.07982107e-09
1.77827941e+00,3.07982107e-09
1.99526231e+00,3.07982107e-09
2.23872114e+00,3.07982107e-09
2.51188643e+00,3.07982107e-09
2.81838293e+00,3.07982107e-09
3.16227766e+00,3.07982107e-09
3.54813389e+00,3.07982107e-09
3.98107171e+00,3.07982107e-09
4.46683592e+00,3.07982107e-09
5.01187234e+00,3.07982107e-09
5.62341325e+00,3.07982107e-09
6.30957344e+00,3.07982107e-09
7.07945784e+00,3.07982107e-09
7.94328235e+00,3.07982107e-09
8.91250938e+00,3.07982107e-09
1.00000000e+01,3.07982107e-09
1.12201845e+01,3.07982107e-09
1.25892541e+01,3.07982107e-09
1.41253754e+01,3.07982107e-09
1.58489319e+01,3.07982107e-09
1.77827941e+01,3.07982107e-09
1.99526231e+01,3.07982107e-09
2.23872114e+01,3.07982108e-09
2.51188643e+01,3.07982108e-09
2.81838293e+01,3.07982108e-09
3.16227766e+01,3.07982108e-09
3.54813389e+01,3.07982108e-09
3.98107171e+01,3.07982108e-09
4.46683592e+01,3.07982109e-09
5.01187234e+01,3.07982109e-09
5.62341325e+01,3.07982110e-09
6.30957344e+01,3.07982110e-09
7.07945784e+01,3.07982111e-09
7.94328235e+01,3.07982112e-09
8.91250938e+01,3.07982114e-09
1.00000000e+02,3.07982115e-09
1.12201845e+02,3.07982117e-09
1.25892541e+02,3.07982120e-09
1.41253754e+02,3.07982124e-09
1.58489319e+02,3.07982128e-09
1.77827941e+02,3.07982133e-09
1.99526231e+02,3.07982140e-09
2.23872114e+02,3.07982148e-09
2.51188643e+02,3.07982159e-09
2.81838293e+02,3.07982173e-09
3.16227766e+02,3.07982190e-09
3.54813389e+02,3.07982211e-09
3.98107171e+02,3.07982238e-09
4.46683592e+02,3.07982272e-09
5.01187234e+02,3.07982314e-09
5.62341325e+02,3.07982368e-09
6.30957344e+02,3.07982435e-09
7.07945784e+02,3.07982520e-09
7.94328235e+02,3.07982627e-09
8.91250938e+02,3.07982762e-09
1.00000000e+03,3.07982931e-09
1.12201845e+03,3.07983144e-09
1.25892541e+03,3.07983413e-09
1.41253754e+03,3.07983751e-09
1.58489319e+03,3.07984177e-09
1.77827941e+03,3.07984712e-09
1.99526231e+03,3.07985387e-09
2.23872114e+03,3.07986236e-09
2.51188643e+03,3.07987305e-09
2.81838293e+03,3.07988651e-09
3.16227766e+03,3.07990346e-09
3.54813389e+03,3.07992479e-09
3.98107171e+03,3.07995165e-09
4.46683592e+03,3.07998546e-09
5.01187234e+03,3.08002802e-09
5.62341325e+03,3.08008161e-09
6.30957344e+03,3.08014907e-09
7.07945784e+03,3.08023399e-09
7.94328235e+03,3.08034091e-09
8.91250938e+03,3.08047551e-09
1.00000000e+04,3.08064496e-09
1.12201845e+04,3.08085828e-09
1.25892541e+04,3.08112684e-09
1.41253754e+04,3.08146494e-09
1.58489319e+04,3.08189057e-09
1.77827941e+04,3.08242642e-09
1.99526231e+04,3.08310101e-09
2.23872114e+04,3.08395027e-09
2.51188643e+04,3.08501943e-09
2.81838293e+04,3.08636541e-09
3.16227766e+04,3.08805991e-09
3.54813389e+04,3.09019315e-09
3.98107171e+04,3.09287875e-09
4.46683592e+04,3.09625972e-09
5.01187234e+04,3.10051610e-09
5.62341325e+04,3.10587457e-09
6.30957344e+04,3.11262048e-09
7.07945784e+04,3.12111308e-09
7.94328235e+04,3.13180463e-09
8.91250938e+04,3.14526449e-09
1.00000000e+05,3.16220946e-09
1.12201845e+05,3.18354190e-09
1.25892541e+05,3.21039786e-09
1.41253754e+05,3.24420752e-09
1.58489319e+05,3.28677135e-09
1.77827941e+05,3.34035603e-09
1.99526231e+05,3.40781516e-09
2.23872114e+05,3.49274117e-09
2.51188643e+05,3.59965669e-09
2.81838293e+05,3.73425536e-09
3.16227766e+05,3.90370505e-09
3.54813389e+05,4.11702960e-09
3.98107171e+05,4.38558932e-09
4.46683592e+05,4.72368601e-09
5.01187234e+05,5.14932460e-09
5.62341325e+05,5.68517193e-09
6.30957344e+05,6.35976393e-09
7.07945784e+05,7.20902519e-09
7.94328235e+05,8.27818220e-09
8.91250938e+05,9.62417179e-09
1.00000000e+06,1.13186733e-08
1.12201845e+06,1.34519261e-08
1.25892541e+06,1.61375348e-08
1.41253754e+06,1.95185200e-08
1.58489319e+06,2.37749348e-08
1.77827941e+06,2.91334540e-08
1.99526231e+06,3.58794467e-08
2.23872114e+06,4.43721747e-08
2.51188643e+06,5.50639274e-08
2.81838293e+06,6.85241129e-08
3.16227766e+06,8.54695872e-08
3.54813389e+06,1.06802842e-07
3.98107171e+06,1.33660081e-07
4.46683592e+06,1.67471759e-07
5.01187234e+06,2.10038801e-07
5.62341325e+06,2.63628579e-07
6.30957344e+06,3.31095772e-07
7.07945784e+06,4.16034563e-07
7.94328235e+06,5.22970330e-07
8.91250938e+06,6.57601077e-07
1.00000000e+07,8.27101586e-07
1.12201845e+07,1.04050661e-06
1.25892541e+07,1.30919377e-06
1.41253754e+07,1.64749224e-06
1.58489319e+07,2.07345020e-06
1.77827941e+07,2.60980285e-06
1.99526231e+07,3.28519406e-06
2.23872114e+07,4.13571866e-06
2.51188643e+07,5.20687135e-06
2.81838293e+07,6.55601083e-06
3.16227766e+07,8.25547886e-06
3.54813389e+07,1.03965522e-05
3.98107171e+07,1.30944560e-05
4.46683592e+07,1.64947327e-05
5.01187234e+07,2.07813427e-05
5.62341325e+07,2.61869830e-05
6.30957344e+07,3.30062446e-05
7.07945784e+07,4.16124046e-05
7.94328235e+07,5.24788617e-05
8.91250938e+07,6.62064911e-05
1.00000000e+08,8.35585149e-05
1.12201845e+08,1.05504878e-04
1.25892541e+08,1.33278606e-04
1.41253754e+08,1.68447253e-04
1.58489319e+08,2.13003355e-04
1.77827941e+08,2.69478931e-04
1.99526231e+08,3.41090441e-04
2.23872114e+08,4.31922313e-04
2.51188643e+08,5.47158922e-04
2.81838293e+08,6.93376556e-04
3.16227766e+08,8.78908337e-04
3.54813389e+08,1.11429629e-03
3.98107171e+08,1.41284642e-03
4.46683592e+08,1.79130562e-03
5.01187234e+08,2.27068448e-03
5.62341325e+08,2.87725766e-03
6.30957344e+08,3.64378284e-03
7.07945784e+08,4.61098695e-03
7.94328235e+08,5.82937179e-03
8.91250938e+08,7.36138581e-03
1.00000000e+09,9.28399171e-03
1.12201845e+09,1.16916272e-02
1.25892541e+09,1.46995023e-02
1.41253754e+09,1.84470894e-02
1.58489319e+09,2.31015334e-02
1.77827941e+09,2.88605153e-02
1.99526231e+09,3.59538376e-02
2.23872114e+09,4.46426676e-02
2.51188643e+09,5.52149961e-02
2.81838293e+09,6.79755427e-02
3.16227766e+09,8.32282284e-02
3.54813389e+09,1.01249698e-01
3.98107171e+09,1.22253541e-01
4.46683592e+09,1.46347103e-01
5.01187234e+09,1.73486013e-01
5.62341325e+09,2.03435169e-01
6.30957344e+09,2.35747416e-01
7.07945784e+09,2.69770680e-01
7.94328235e+09,3.04689400e-01
8.91250938e+09,3.39597414e-01
1.00000000e+10,3.73589634e-01
1.12201845e+10,4.05853497e-01
1.25892541e+10,4.35741234e-01
1.41253754e+10,4.62810510e-01
1.58489319e+10,4.86830808e-01
1.77827941e+10,5.07761569e-01
1.99526231e+10,5.25712901e-01
2.23872114e+10,5.40900063e-01
2.51188643e+10,5.53600385e-01
2.81838293e+10,5.64117673e-01
3.16227766e+10,5.72755921e-01
3.54813389e+10,5.79801935e-01
3.98107171e+10,5.85515343e-01
4.46683592e+10,5.90124097e-01
5.01187234e+10,5.93823707e-01
5.62341325e+10,5.96778768e-01
6.30957344e+10,5.99125714e-01
7.07945784e+10,6.00976087e-01
7.94328235e+10,6.02419835e-01
8.91250938e+10,6.03528389e-01
1.00000000e+11,6.04357355e-01
1.12201845e+11,6.04948774e-01
1.25892541e+11,6.05332923e-01
1.41253754e+11,6.05529670e-01
1.58489319e+11,6.05549413e-01
1.77827941e+11,6.05393612e-01
1.99526231e+11,6.05054950e-01
2.23872114e+11,6.04517149e-01
2.51188643e+11,6.03754454e-01
2.81838293e+11,6.02730841e-01
3.16227766e+11,6.01399007e-01
3.54813389e+11,5.99699236e-01
3.98107171e+11,5.97558310e-01
4.46683592e+11,5.94888735e-01
5.01187234e+11,5.91588625e-01
5.62341325e+11,5.87542803e-01
6.30957344e+11,5.82625732e-01
7.07945784e+11,5.76707064e-01
7.94328235e+11,5.69660458e-01
8.91250938e+11,5.61376073e-01
1.00000000e+12,5.51776445e-01
