frequency,v(vout)
1.00000000e+00,-1.29467043e-01
1.12201845e+00,-1.29467043e-01
1.25892541e+00,-1.29467043e-01
1.41253754e+00,-1.29467043e-01
1.58489319e+00,-1.29467043e-01
1.77827941e+00,-1.29467043e-01
1.99526231e+00,-1.29467043e-01
2.23872114e+00,-1.29467043e-01
2.51188643e+00,-1.29467043e-01
2.81838293e+00,-1.29467043e-01
3.16227766e+00,-1.29467043e-01
3.54813389e+00,-1.29467043e-01
3.98107171e+00,-1.29467043e-01
4.46683592e+00,-1.29467043e-01
5.01187234e+00,-1.29467043e-01
5.62341325e+00,-1.29467043e-01
6.30957344e+00,-1.29467043e-01
7.07945784e+00,-1.29467043e-01
7.94328235e+00,-1.29467043e-01
8.91250938e+00,-1.29467043e-01
1.00000000e+01,-1.29467043e-01
1.12201845e+01,-1.29467043e-01
1.25892541e+01,-1.29467043e-01
1.41253754e+01,-1.29467043e-01
1.58489319e+01,-1.29467043e-01
1.77827941e+01,-1.29467043e-01
1.99526231e+01,-1.29467043e-01
2.23872114e+01,-1.29467043e-01
2.51188643e+01,-1.29467043e-01
2.81838293e+01,-1.29467043e-01
3.16227766e+01,-1.29467043e-01
3.54813389e+01,-1.29467043e-01
3.98107171e+01,-1.29467043e-01
4.46683592e+01,-1.29467043e-01
5.01187234e+01,-1.29467043e-01
5.62341325e+01,-1.29467043e-01
6.30957344e+01,-1.29467043e-01
7.07945784e+01,-1.29467043e-01
7.94328235e+01,-1.29467043e-01
8.91250938e+01,-1.29467043e-01
1.00000000e+02,-1.29467043e-01
1.12201845e+02,-1.29467043e-01
1.25892541e+02,-1.29467043e-01
1.41253754e+02,-1.29467043e-01
1.58489319e+02,-1.29467043e-01
1.77827941e+02,-1.29467043e-01
1.99526231e+02,-1.29467043e-01
2.23872114e+02,-1.29467043e-01
2.51188643e+02,-1.29467043e-01
2.81838293e+02,-1.29467043e-01
3.16227766e+02,-1.29467043e-01
3.54813389e+02,-1.29467043e-01
3.98107171e+02,-1.29467043e-01
4.46683592e+02,-1.29467043e-01
5.01187234e+02,-1.29467043e-01
5.62341325e+02,-1.29467043e-01
6.30957344e+02,-1.29467043e-01
7.07945784e+02,-1.29467043e-01
7.94328235e+02,-1.29467043e-01
8.91250938e+02,-1.29467042e-01
1.00000000e+03,-1.29467042e-01
1.12201845e+03,-1.29467042e-01
1.25892541e+03,-1.29467041e-01
1.41253754e+03,-1.29467041e-01
1.58489319e+03,-1.29467040e-01
1.77827941e+03,-1.29467039e-01
1.99526231e+03,-1.29467038e-01
2.23872114e+03,-1.29467037e-01
2.51188643e+03,-1.29467035e-01
2.81838293e+03,-1.29467033e-01
3.16227766e+03,-1.29467030e-01
3.54813389e+03,-1.29467027e-01
3.98107171e+03,-1.29467022e-01
4.46683592e+03,-1.29467017e-01
5.01187234e+03,-1.29467010e-01
5.62341325e+03,-1.29467001e-01
6.30957344e+03,-1.29466990e-01
7.07945784e+03,-1.29466977e-01
7.94328235e+03,-1.29466959e-01
8.91250938e+03,-1.29466937e-01
1.00000000e+04,-1.29466910e-01
1.12201845e+04,-1.29466876e-01
1.25892541e+04,-1.29466832e-01
1.41253754e+04,-1.29466777e-01
1.58489319e+04,-1.29466708e-01
1.77827941e+04,-1.29466622e-01
1.99526231e+04,-1.29466512e-01
2.23872114e+04,-1.29466375e-01
2.51188643e+04,-1.29466202e-01
2.81838293e+04,-1.29465984e-01
3.16227766e+04,-1.29465709e-01
3.54813389e+04,-1.29465364e-01
3.98107171e+04,-1.29464929e-01
4.46683592e+04,-1.29464381e-01
5.01187234e+04,-1.29463692e-01
5.62341325e+04,-1.29462824e-01
6.30957344e+04,-1.29461731e-01
7.07945784e+04,-1.29460356e-01
7.94328235e+04,-1.29458624e-01
8.91250938e+04,-1.29456444e-01
1.00000000e+05,-1.29453700e-01
1.12201845e+05,-1.29450245e-01
1.25892541e+05,-1.29445896e-01
1.41253754e+05,-1.29440420e-01
1.58489319e+05,-1.29433528e-01
1.77827941e+05,-1.29424850e-01
1.99526231e+05,-1.29413926e-01
2.23872114e+05,-1.29400175e-01
2.51188643e+05,-1.29382864e-01
2.81838293e+05,-1.29361073e-01
3.16227766e+05,-1.29333642e-01
3.54813389e+05,-1.29299114e-01
3.98107171e+05,-1.29255652e-01
4.46683592e+05,-1.29200948e-01
5.01187234e+05,-1.29132099e-01
5.62341325e+05,-1.29045451e-01
6.30957344e+05,-1.28936413e-01
7.07945784e+05,-1.28799214e-01
7.94328235e+05,-1.28626605e-01
8.91250938e+05,-1.28409484e-01
1.00000000e+06,-1.28136430e-01
1.12201845e+06,-1.27793126e-01
1.25892541e+06,-1.27361647e-01
1.41253754e+06,-1.26819575e-01
1.58489319e+06,-1.26138931e-01
1.77827941e+06,-1.25284863e-01
1.99526231e+06,-1.24214088e-01
2.23872114e+06,-1.22873040e-01
2.51188643e+06,-1.21195718e-01
2.81838293e+06,-1.19101276e-01
3.16227766e+06,-1.16491383e-01
3.54813389e+06,-1.13247550e-01
3.98107171e+06,-1.09228673e-01
4.46683592e+06,-1.04269269e-01
5.01187234e+06,-9.81790698e-02
5.62341325e+06,-9.07449793e-02
6.30957344e+06,-8.17366205e-02
7.07945784e+06,-7.09169230e-02
7.94328235e+06,-5.80591348e-02
8.91250938e+06,-4.29710253e-02
1.00000000e+07,-2.55257902e-02
1.12201845e+07,-5.69696616e-03
1.25892541e+07,1.64080628e-02
1.41253754e+07,4.05239217e-02
1.58489319e+07,6.62212989e-02
1.77827941e+07,9.29260031e-02
1.99526231e+07,1.19964317e-01
2.23872114e+07,1.46628402e-01
2.51188643e+07,1.72248940e-01
2.81838293e+07,1.96259642e-01
3.16227766e+07,2.18241119e-01
3.54813389e+07,2.37938332e-01
3.98107171e+07,2.55253330e-01
4.46683592e+07,2.70220305e-01
5.01187234e+07,2.82971811e-01
5.62341325e+07,2.93703982e-01
6.30957344e+07,3.02646005e-01
7.07945784e+07,3.10036345e-01
7.94328235e+07,3.16106157e-01
8.91250938e+07,3.21069000e-01
1.00000000e+08,3.25115478e-01
1.12201845e+08,3.28411339e-01
1.25892541e+08,3.31097806e-01
1.41253754e+08,3.33293162e-01
1.58489319e+08,3.35094948e-01
1.77827941e+08,3.36582340e-01
1.99526231e+08,3.37818515e-01
2.23872114e+08,3.38852914e-01
2.51188643e+08,3.39723405e-01
2.81838293e+08,3.40458357e-01
3.16227766e+08,3.41078627e-01
3.54813389e+08,3.41599373e-01
3.98107171e+08,3.42031626e-01
4.46683592e+08,3.42383530e-01
5.01187234e+08,3.42661192e-01
5.62341325e+08,3.42869174e-01
6.30957344e+08,3.43010679e-01
7.07945784e+08,3.43087532e-01
7.94328235e+08,3.43100042e-01
8.91250938e+08,3.43046824e-01
1.00000000e+09,3.42924630e-01
1.12201845e+09,3.42728257e-01
1.25892541e+09,3.42450550e-01
1.41253754e+09,3.42082574e-01
1.58489319e+09,3.41614011e-01
1.77827941e+09,3.41033852e-01
1.99526231e+09,3.40331459e-01
2.23872114e+09,3.39498029e-01
2.51188643e+09,3.38528405e-01
2.81838293e+09,3.37423073e-01
3.16227766e+09,3.36190012e-01
3.54813389e+09,3.34845953e-01
3.98107171e+09,3.33416538e-01
4.46683592e+09,3.31935069e-01
5.01187234e+09,3.30439804e-01
5.62341325e+09,3.28970235e-01
6.30957344e+09,3.27563077e-01
7.07945784e+09,3.26248837e-01
7.94328235e+09,3.25049598e-01
8.91250938e+09,3.23978280e-01
1.00000000e+10,3.23039229e-01
1.12201845e+10,3.22229710e-01
1.25892541e+10,3.21541820e-01
1.41253754e+10,3.20964407e-01
1.58489319e+10,3.20484709e-01
1.77827941e+10,3.20089625e-01
1.99526231e+10,3.19766572e-01
2.23872114e+10,3.19504014e-01
2.51188643e+10,3.19291723e-01
2.81838293e+10,3.19120858e-01
3.16227766e+10,3.18983922e-01
3.54813389e+10,3.18874660e-01
3.98107171e+10,3.18787922e-01
4.46683592e+10,3.18719515e-01
5.01187234e+10,3.18666069e-01
5.62341325e+10,3.18624913e-01
6.30957344e+10,3.18593963e-01
7.07945784e+10,3.18571638e-01
7.94328235e+10,3.18556791e-01
8.91250938e+10,3.18548651e-01
1.00000000e+11,3.18546794e-01
1.12201845e+11,3.18551113e-01
1.25892541e+11,3.18561820e-01
1.41253754e+11,3.18579445e-01
1.58489319e+11,3.18604865e-01
1.77827941e+11,3.18639329e-01
1.99526231e+11,3.18684508e-01
2.23872114e+11,3.18742552e-01
2.51188643e+11,3.18816148e-01
2.81838293e+11,3.18908591e-01
3.16227766e+11,3.19023837e-01
3.54813389e+11,3.19166542e-01
3.98107171e+11,3.19342043e-01
4.46683592e+11,3.19556279e-01
5.01187234e+11,3.19815577e-01
5.62341325e+11,3.20126276e-01
6.30957344e+11,3.20494141e-01
7.07945784e+11,3.20923515e-01
7.94328235e+11,3.21416240e-01
8.91250938e+11,3.21970407e-01
1.00000000e+12,3.22579108e-01
