frequency,inoise_spectrum
1.00000000e+03,1.40758258e-06
1.12201845e+03,1.34123112e-06
1.25892541e+03,1.27801692e-06
1.41253754e+03,1.21779212e-06
1.58489319e+03,1.16041583e-06
1.77827941e+03,1.10575385e-06
1.99526231e+03,1.05367832e-06
2.23872114e+03,1.00406741e-06
2.51188643e+03,9.56805088e-07
2.81838293e+03,9.11780786e-07
3.16227766e+03,8.68889187e-07
3.54813389e+03,8.28029958e-07
3.98107171e+03,7.89107520e-07
4.46683592e+03,7.52030824e-07
5.01187234e+03,7.16713136e-07
5.62341325e+03,6.83071838e-07
6.30957344e+03,6.51028229e-07
7.07945784e+03,6.20507348e-07
7.94328235e+03,5.91437792e-07
8.91250938e+03,5.63751552e-07
1.00000000e+04,5.37383852e-07
1.12201845e+04,5.12272999e-07
1.25892541e+04,4.88360236e-07
1.41253754e+04,4.65589609e-07
1.58489319e+04,4.43907827e-07
1.77827941e+04,4.23264147e-07
1.99526231e+04,4.03610247e-07
2.23872114e+04,3.84900116e-07
2.51188643e+04,3.67089944e-07
2.81838293e+04,3.50138021e-07
3.16227766e+04,3.34004634e-07
3.54813389e+04,3.18651980e-07
3.98107171e+04,3.04044067e-07
4.46683592e+04,2.90146638e-07
5.01187234e+04,2.76927081e-07
5.62341325e+04,2.64354357e-07
6.30957344e+04,2.52398922e-07
7.07945784e+04,2.41032656e-07
7.94328235e+04,2.30228795e-07
8.91250938e+04,2.19961865e-07
1.00000000e+05,2.10207620e-07
1.12201845e+05,2.00942980e-07
1.25892541e+05,1.92145974e-07
1.41253754e+05,1.83795685e-07
1.58489319e+05,1.75872194e-07
1.77827941e+05,1.68356529e-07
1.99526231e+05,1.61230615e-07
2.23872114e+05,1.54477225e-07
2.51188643e+05,1.48079934e-07
2.81838293e+05,1.42023072e-07
3.16227766e+05,1.36291679e-07
3.54813389e+05,1.30871467e-07
3.98107171e+05,1.25748772e-07
4.46683592e+05,1.20910520e-07
5.01187234e+05,1.16344184e-07
5.62341325e+05,1.12037750e-07
6.30957344e+05,1.07979682e-07
7.07945784e+05,1.04158885e-07
7.94328235e+05,1.00564678e-07
8.91250938e+05,9.71867602e-08
1.00000000e+06,9.40151878e-08
1.12201845e+06,9.10403470e-08
1.25892541e+06,8.82529327e-08
1.41253754e+06,8.56439287e-08
1.58489319e+06,8.32045918e-08
1.77827941e+06,8.09264373e-08
1.99526231e+06,7.88012283e-08
2.23872114e+06,7.68209673e-08
2.51188643e+06,7.49778903e-08
2.81838293e+06,7.32644628e-08
3.16227766e+06,7.16733778e-08
