frequency,onoise_spectrum
1.00000000e+03,5.87893477e-07
1.12201845e+03,5.60166223e-07
1.25892541e+03,5.33750740e-07
1.41253754e+03,5.08585159e-07
1.58489319e+03,4.84610542e-07
1.77827941e+03,4.61770740e-07
1.99526231e+03,4.40012259e-07
2.23872114e+03,4.19284142e-07
2.51188643e+03,3.99537844e-07
2.81838293e+03,3.80727116e-07
3.16227766e+03,3.62807905e-07
3.54813389e+03,3.45738244e-07
3.98107171e+03,3.29478155e-07
4.46683592e+03,3.13989557e-07
5.01187234e+03,2.99236173e-07
5.62341325e+03,2.85183452e-07
6.30957344e+03,2.71798480e-07
7.07945784e+03,2.59049908e-07
7.94328235e+03,2.46907877e-07
8.91250938e+03,2.35343947e-07
1.00000000e+04,2.24331031e-07
1.12201845e+04,2.13843333e-07
1.25892541e+04,2.03856286e-07
1.41253754e+04,1.94346493e-07
1.58489319e+04,1.85291673e-07
1.77827941e+04,1.76670611e-07
1.99526231e+04,1.68463104e-07
2.23872114e+04,1.60649917e-07
2.51188643e+04,1.53212736e-07
2.81838293e+04,1.46134122e-07
3.16227766e+04,1.39397476e-07
3.54813389e+04,1.32986994e-07
3.98107171e+04,1.26887633e-07
4.46683592e+04,1.21085072e-07
5.01187234e+04,1.15565682e-07
5.62341325e+04,1.10316488e-07
6.30957344e+04,1.05325142e-07
7.07945784e+04,1.00579893e-07
7.94328235e+04,9.60695540e-08
8.91250938e+04,9.17834798e-08
1.00000000e+05,8.77115377e-08
1.12201845e+05,8.38440827e-08
1.25892541e+05,8.01719338e-08
1.41253754e+05,7.66863502e-08
1.58489319e+05,7.33790086e-08
1.77827941e+05,7.02419817e-08
1.99526231e+05,6.72677173e-08
2.23872114e+05,6.44490176e-08
2.51188643e+05,6.17790197e-08
2.81838293e+05,5.92511769e-08
3.16227766e+05,5.68592395e-08
3.54813389e+05,5.45972375e-08
3.98107171e+05,5.24594634e-08
4.46683592e+05,5.04404548e-08
5.01187234e+05,4.85349791e-08
5.62341325e+05,4.67380178e-08
6.30957344e+05,4.50447515e-08
7.07945784e+05,4.34505463e-08
7.94328235e+05,4.19509406e-08
8.91250938e+05,4.05416325e-08
