time,v(vout)
0.00000000e+00,4.57419306e-09
1.00000000e-12,4.57433661e-09
2.00000000e-12,4.57447271e-09
4.00000000e-12,4.57465557e-09
8.00000000e-12,4.57487294e-09
1.60000000e-11,4.57498171e-09
3.20000000e-11,4.57560550e-09
6.40000000e-11,4.57648971e-09
1.28000000e-10,4.57482297e-09
2.28000000e-10,4.57601860e-09
3.28000000e-10,4.57637343e-09
4.28000000e-10,4.57501904e-09
5.28000000e-10,4.57430493e-09
6.28000000e-10,4.57490700e-09
7.28000000e-10,4.57487906e-09
8.28000000e-10,4.57425508e-09
9.28000000e-10,4.57429825e-09
1.02800000e-09,4.57501434e-09
1.12800000e-09,4.57514633e-09
1.22800000e-09,4.57370552e-09
1.32800000e-09,4.57363065e-09
1.42800000e-09,4.57402531e-09
1.52800000e-09,4.57472034e-09
1.62800000e-09,4.57459260e-09
1.72800000e-09,4.57433397e-09
1.82800000e-09,4.57409250e-09
1.92800000e-09,4.57370555e-09
2.02800000e-09,4.57443075e-09
2.12800000e-09,4.57503795e-09
2.22800000e-09,4.57410144e-09
2.32800000e-09,4.57396446e-09
2.42800000e-09,4.57433729e-09
2.52800000e-09,4.57470061e-09
2.62800000e-09,4.57510714e-09
2.72800000e-09,4.57427129e-09
2.82800000e-09,4.57411656e-09
2.92800000e-09,4.57481874e-09
3.02800000e-09,4.57503471e-09
3.12800000e-09,4.57531343e-09
3.22800000e-09,4.57570610e-09
3.32800000e-09,4.57541324e-09
3.42800000e-09,4.57448197e-09
3.52800000e-09,4.57459671e-09
3.62800000e-09,4.57481166e-09
3.72800000e-09,4.57425645e-09
3.82800000e-09,4.57440493e-09
3.92800000e-09,4.57464345e-09
4.02800000e-09,4.57419646e-09
4.12800000e-09,4.57448725e-09
4.22800000e-09,4.57495250e-09
4.32800000e-09,4.57419303e-09
4.42800000e-09,4.57353295e-09
4.52800000e-09,4.57422495e-09
4.62800000e-09,4.57477415e-09
4.72800000e-09,4.57397814e-09
4.82800000e-09,4.57383054e-09
4.92800000e-09,4.57360908e-09
5.02800000e-09,4.57396130e-09
5.12800000e-09,4.57485787e-09
5.22800000e-09,4.57451275e-09
5.32800000e-09,4.57405981e-09
5.42800000e-09,4.57421087e-09
5.52800000e-09,4.57398933e-09
5.62800000e-09,4.57517785e-09
5.72800000e-09,4.57402611e-09
5.82800000e-09,4.57405105e-09
5.92800000e-09,4.57403611e-09
6.02800000e-09,4.57324149e-09
6.12800000e-09,4.57463853e-09
6.22800000e-09,4.57395252e-09
6.32800000e-09,4.57336967e-09
6.42800000e-09,4.57389296e-09
6.52800000e-09,4.57427929e-09
6.62800000e-09,4.57414396e-09
6.72800000e-09,4.57431248e-09
6.82800000e-09,4.57469886e-09
6.92800000e-09,4.57440692e-09
7.02800000e-09,4.57379544e-09
7.12800000e-09,4.57416164e-09
7.22800000e-09,4.57507253e-09
7.32800000e-09,4.57481230e-09
7.42800000e-09,4.57468207e-09
7.52800000e-09,4.57419161e-09
7.62800000e-09,4.57379992e-09
7.72800000e-09,4.57394472e-09
7.82800000e-09,4.57459765e-09
7.92800000e-09,4.57456623e-09
8.02800000e-09,4.57408136e-09
8.12800000e-09,4.57419246e-09
8.22800000e-09,4.57474466e-09
8.32800000e-09,4.57382493e-09
8.42800000e-09,4.57413923e-09
8.52800000e-09,4.57535359e-09
8.62800000e-09,4.57375716e-09
8.72800000e-09,4.57340271e-09
8.82800000e-09,4.57393080e-09
8.92800000e-09,4.57405162e-09
9.02800000e-09,4.57429659e-09
9.12800000e-09,4.57452262e-09
9.22800000e-09,4.57407171e-09
9.32800000e-09,4.57409388e-09
9.42800000e-09,4.57463251e-09
9.52800000e-09,4.57414173e-09
9.62800000e-09,4.57384643e-09
9.72800000e-09,4.57462415e-09
9.82800000e-09,4.57398241e-09
9.92800000e-09,4.57386935e-09
1.00000000e-08,4.57423819e-09
1.00100000e-08,1.15608442e-04
1.00300000e-08,2.45231676e-04
1.00700000e-08,2.66664902e-04
1.01500000e-08,2.58175118e-04
1.02500000e-08,2.58853215e-04
1.03500000e-08,2.54463400e-04
1.04500000e-08,2.53486992e-04
1.05500000e-08,2.50854090e-04
1.06500000e-08,2.49572923e-04
1.07500000e-08,2.47827656e-04
1.08500000e-08,2.46716323e-04
1.09500000e-08,2.45570865e-04
1.10500000e-08,2.44823990e-04
1.11500000e-08,2.44218963e-04
1.12500000e-08,2.43959551e-04
1.13500000e-08,2.43943295e-04
1.14500000e-08,2.44299619e-04
1.15500000e-08,2.44992665e-04
1.16500000e-08,2.46136401e-04
1.17500000e-08,2.47738654e-04
1.18500000e-08,2.49932553e-04
1.19500000e-08,2.52785089e-04
1.20500000e-08,2.56500155e-04
1.21500000e-08,2.61272877e-04
1.22500000e-08,2.67496184e-04
1.23500000e-08,2.75669921e-04
1.24500000e-08,2.86642775e-04
1.25500000e-08,3.01602941e-04
1.26500000e-08,3.22393387e-04
1.27500000e-08,3.51620520e-04
1.28500000e-08,3.93084321e-04
1.29500000e-08,4.52046009e-04
1.30500000e-08,5.35815415e-04
1.31500000e-08,6.54202194e-04
1.32500000e-08,8.42418286e-04
1.33500000e-08,1.07893032e-03
1.34500000e-08,1.40533590e-03
1.35500000e-08,1.84330105e-03
1.36500000e-08,2.42159059e-03
1.37500000e-08,3.16858997e-03
1.38500000e-08,4.11087625e-03
1.39500000e-08,5.27305540e-03
1.40500000e-08,6.67278355e-03
1.41500000e-08,8.32443863e-03
1.42500000e-08,1.02347289e-02
1.43500000e-08,1.24085665e-02
1.44500000e-08,1.48453914e-02
1.45500000e-08,1.75455394e-02
1.46500000e-08,2.05064649e-02
1.47500000e-08,2.37286985e-02
1.48500000e-08,2.72116183e-02
1.49500000e-08,3.09587528e-02
1.50500000e-08,3.49727561e-02
1.51500000e-08,3.92590973e-02
1.52500000e-08,4.38121478e-02
1.53500000e-08,4.86211593e-02
1.54500000e-08,5.36433486e-02
1.55500000e-08,5.89606806e-02
1.56500000e-08,6.56958240e-02
1.57500000e-08,7.58108053e-02
1.58500000e-08,8.98160807e-02
1.59500000e-08,1.09099933e-01
1.60500000e-08,1.35676261e-01
1.61500000e-08,1.71439573e-01
1.62500000e-08,2.15602328e-01
1.63500000e-08,2.57924306e-01
1.64500000e-08,2.86045971e-01
1.65500000e-08,3.04800169e-01
1.66500000e-08,3.22594114e-01
1.67500000e-08,3.41005846e-01
1.68500000e-08,3.59378670e-01
1.69500000e-08,3.77577213e-01
1.70500000e-08,3.95695898e-01
1.71500000e-08,4.13754267e-01
1.72500000e-08,4.31746175e-01
1.73500000e-08,4.49669500e-01
1.74500000e-08,4.67523137e-01
1.75500000e-08,4.85300401e-01
1.76500000e-08,5.02992777e-01
1.77500000e-08,5.20586188e-01
1.78500000e-08,5.38062330e-01
1.79500000e-08,5.55393348e-01
1.80500000e-08,5.72540968e-01
1.81500000e-08,5.89448397e-01
1.82500000e-08,6.06035735e-01
1.83500000e-08,6.22189907e-01
1.84500000e-08,6.37764180e-01
1.85500000e-08,6.52586686e-01
1.86500000e-08,6.66493042e-01
1.87500000e-08,6.79362758e-01
1.88500000e-08,6.91143151e-01
1.89500000e-08,7.01841304e-01
1.90500000e-08,7.11505518e-01
1.91500000e-08,7.20205022e-01
1.92500000e-08,7.28019752e-01
1.93500000e-08,7.35031585e-01
1.94500000e-08,7.41321560e-01
1.95500000e-08,7.46965915e-01
1.96500000e-08,7.52035971e-01
1.97500000e-08,7.56596214e-01
1.98500000e-08,7.60705232e-01
1.99500000e-08,7.64414819e-01
2.00000000e-08,7.66134069e-01
2.00100000e-08,7.65773274e-01
2.00300000e-08,7.65300500e-01
2.00700000e-08,7.65040541e-01
2.01500000e-08,7.64916343e-01
2.02500000e-08,7.64812850e-01
2.03500000e-08,7.64749532e-01
2.04500000e-08,7.64688568e-01
2.05500000e-08,7.64633384e-01
2.06500000e-08,7.64578988e-01
2.07500000e-08,7.64526996e-01
2.08500000e-08,7.64476467e-01
2.09500000e-08,7.64427656e-01
2.10500000e-08,7.64380454e-01
2.11500000e-08,7.64334740e-01
2.12500000e-08,7.64290600e-01
2.13500000e-08,7.64247824e-01
2.14500000e-08,7.64206544e-01
2.15500000e-08,7.64166533e-01
2.16500000e-08,7.64127933e-01
2.17500000e-08,7.64090517e-01
2.18500000e-08,7.64054429e-01
2.19500000e-08,7.64019449e-01
2.20500000e-08,7.63985716e-01
2.21500000e-08,7.63953018e-01
2.22500000e-08,7.63921491e-01
2.23500000e-08,7.63890931e-01
2.24500000e-08,7.63861471e-01
2.25500000e-08,7.63832915e-01
2.26500000e-08,7.63805390e-01
2.27500000e-08,7.63778709e-01
2.28500000e-08,7.63752996e-01
2.29500000e-08,7.63728071e-01
2.30500000e-08,7.63704054e-01
2.31500000e-08,7.63680771e-01
2.32500000e-08,7.63658340e-01
2.33500000e-08,7.63636594e-01
2.34500000e-08,7.63615648e-01
2.35500000e-08,7.63595339e-01
2.36500000e-08,7.63575781e-01
2.37500000e-08,7.63556816e-01
2.38500000e-08,7.63538555e-01
2.39500000e-08,7.63520848e-01
2.40500000e-08,7.63503800e-01
2.41500000e-08,7.63487267e-01
2.42500000e-08,7.63471353e-01
2.43500000e-08,7.63455918e-01
2.44500000e-08,7.63441064e-01
2.45500000e-08,7.63426654e-01
2.46500000e-08,7.63412790e-01
2.47500000e-08,7.63399340e-01
2.48500000e-08,7.63386400e-01
2.49500000e-08,7.63373845e-01
2.50500000e-08,7.63361770e-01
2.51500000e-08,7.63350051e-01
2.52500000e-08,7.63338783e-01
2.53500000e-08,7.63327846e-01
2.54500000e-08,7.63317331e-01
2.55500000e-08,7.63307124e-01
2.56500000e-08,7.63297312e-01
2.57500000e-08,7.63287787e-01
2.58500000e-08,7.63278632e-01
2.59500000e-08,7.63269743e-01
2.60500000e-08,7.63261202e-01
2.61500000e-08,7.63252907e-01
2.62500000e-08,7.63244939e-01
2.63500000e-08,7.63237198e-01
2.64500000e-08,7.63229764e-01
2.65500000e-08,7.63222541e-01
2.66500000e-08,7.63215607e-01
2.67500000e-08,7.63208867e-01
2.68500000e-08,7.63202398e-01
2.69500000e-08,7.63196109e-01
2.70500000e-08,7.63190075e-01
2.71500000e-08,7.63184207e-01
2.72500000e-08,7.63178579e-01
2.73500000e-08,7.63173104e-01
2.74500000e-08,7.63167854e-01
2.75500000e-08,7.63162746e-01
2.76500000e-08,7.63157849e-01
2.77500000e-08,7.63153083e-01
2.78500000e-08,7.63148516e-01
2.79500000e-08,7.63144070e-01
2.80500000e-08,7.63139810e-01
2.81500000e-08,7.63135661e-01
2.82500000e-08,7.63131689e-01
2.83500000e-08,7.63127818e-01
2.84500000e-08,7.63124113e-01
2.85500000e-08,7.63120502e-01
2.86500000e-08,7.63117047e-01
2.87500000e-08,7.63113678e-01
2.88500000e-08,7.63110456e-01
2.89500000e-08,7.63107313e-01
2.90500000e-08,7.63104308e-01
2.91500000e-08,7.63101375e-01
2.92500000e-08,7.63098573e-01
2.93500000e-08,7.63095837e-01
2.94500000e-08,7.63093224e-01
2.95500000e-08,7.63090672e-01
2.96500000e-08,7.63088236e-01
2.97500000e-08,7.63085854e-01
2.98500000e-08,7.63083582e-01
2.99500000e-08,7.63081361e-01
3.00500000e-08,7.63079242e-01
3.01500000e-08,7.63077170e-01
3.02500000e-08,7.63075194e-01
3.03500000e-08,7.63073261e-01
3.04500000e-08,7.63071419e-01
3.05500000e-08,7.63069615e-01
3.06500000e-08,7.63067898e-01
3.07500000e-08,7.63066215e-01
3.08500000e-08,7.63064614e-01
3.09500000e-08,7.63063043e-01
3.10500000e-08,7.63061550e-01
3.11500000e-08,7.63060085e-01
3.12500000e-08,7.63058694e-01
3.13500000e-08,7.63057327e-01
3.14500000e-08,7.63056029e-01
3.15500000e-08,7.63054754e-01
3.16500000e-08,7.63053544e-01
3.17500000e-08,7.63052354e-01
3.18500000e-08,7.63051227e-01
3.19500000e-08,7.63050116e-01
3.20500000e-08,7.63049065e-01
3.21500000e-08,7.63048029e-01
3.22500000e-08,7.63047050e-01
3.23500000e-08,7.63046083e-01
3.24500000e-08,7.63045170e-01
3.25500000e-08,7.63044267e-01
3.26500000e-08,7.63043416e-01
3.27500000e-08,7.63042574e-01
3.28500000e-08,7.63041781e-01
3.29500000e-08,7.63040995e-01
3.30500000e-08,7.63040256e-01
3.31500000e-08,7.63039523e-01
3.32500000e-08,7.63038834e-01
3.33500000e-08,7.63038149e-01
3.34500000e-08,7.63037507e-01
3.35500000e-08,7.63036869e-01
3.36500000e-08,7.63036270e-01
3.37500000e-08,7.63035674e-01
3.38500000e-08,7.63035117e-01
3.39500000e-08,7.63034560e-01
3.40500000e-08,7.63034041e-01
3.41500000e-08,7.63033521e-01
3.42500000e-08,7.63033037e-01
3.43500000e-08,7.63032553e-01
3.44500000e-08,7.63032102e-01
3.45500000e-08,7.63031649e-01
3.46500000e-08,7.63031229e-01
3.47500000e-08,7.63030806e-01
3.48500000e-08,7.63030415e-01
3.49500000e-08,7.63030021e-01
3.50500000e-08,7.63029656e-01
3.51500000e-08,7.63029288e-01
3.52500000e-08,7.63028948e-01
3.53500000e-08,7.63028604e-01
3.54500000e-08,7.63028288e-01
3.55500000e-08,7.63027967e-01
3.56500000e-08,7.63027672e-01
3.57500000e-08,7.63027372e-01
3.58500000e-08,7.63027098e-01
3.59500000e-08,7.63026818e-01
3.60500000e-08,7.63026563e-01
3.61500000e-08,7.63026301e-01
3.62500000e-08,7.63026063e-01
3.63500000e-08,7.63025819e-01
3.64500000e-08,7.63025598e-01
3.65500000e-08,7.63025369e-01
3.66500000e-08,7.63025163e-01
3.67500000e-08,7.63024950e-01
3.68500000e-08,7.63024758e-01
3.69500000e-08,7.63024559e-01
3.70500000e-08,7.63024381e-01
3.71500000e-08,7.63024194e-01
3.72500000e-08,7.63024028e-01
3.73500000e-08,7.63023854e-01
3.74500000e-08,7.63023700e-01
3.75500000e-08,7.63023537e-01
3.76500000e-08,7.63023393e-01
3.77500000e-08,7.63023241e-01
3.78500000e-08,7.63023108e-01
3.79500000e-08,7.63022965e-01
3.80500000e-08,7.63022841e-01
3.81500000e-08,7.63022708e-01
3.82500000e-08,7.63022593e-01
3.83500000e-08,7.63022468e-01
3.84500000e-08,7.63022361e-01
3.85500000e-08,7.63022245e-01
3.86500000e-08,7.63022145e-01
3.87500000e-08,7.63022036e-01
3.88500000e-08,7.63021943e-01
3.89500000e-08,7.63021841e-01
3.90500000e-08,7.63021755e-01
3.91500000e-08,7.63021660e-01
3.92500000e-08,7.63021580e-01
3.93500000e-08,7.63021491e-01
3.94500000e-08,7.63021417e-01
3.95500000e-08,7.63021333e-01
3.96500000e-08,7.63021264e-01
3.97500000e-08,7.63021186e-01
3.98500000e-08,7.63021122e-01
3.99500000e-08,7.63021049e-01
4.00500000e-08,7.63020989e-01
4.01500000e-08,7.63020921e-01
4.02500000e-08,7.63020866e-01
4.03500000e-08,7.63020801e-01
4.04500000e-08,7.63020750e-01
4.05500000e-08,7.63020690e-01
4.06500000e-08,7.63020643e-01
4.07500000e-08,7.63020586e-01
4.08500000e-08,7.63020543e-01
4.09500000e-08,7.63020489e-01
4.10500000e-08,7.63020449e-01
4.11500000e-08,7.63020399e-01
4.12500000e-08,7.63020362e-01
4.13500000e-08,7.63020315e-01
4.14500000e-08,7.63020281e-01
4.15500000e-08,7.63020236e-01
4.16500000e-08,7.63020205e-01
4.17500000e-08,7.63020163e-01
4.18500000e-08,7.63020134e-01
4.19500000e-08,7.63020095e-01
4.20500000e-08,7.63020068e-01
4.21500000e-08,7.63020031e-01
4.22500000e-08,7.63020006e-01
4.23500000e-08,7.63019972e-01
4.24500000e-08,7.63019949e-01
4.25500000e-08,7.63019916e-01
4.26500000e-08,7.63019896e-01
4.27500000e-08,7.63019865e-01
4.28500000e-08,7.63019846e-01
4.29500000e-08,7.63019817e-01
4.30500000e-08,7.63019799e-01
4.31500000e-08,7.63019772e-01
4.32500000e-08,7.63019756e-01
4.33500000e-08,7.63019730e-01
4.34500000e-08,7.63019715e-01
4.35500000e-08,7.63019691e-01
4.36500000e-08,7.63019677e-01
4.37500000e-08,7.63019654e-01
4.38500000e-08,7.63019642e-01
4.39500000e-08,7.63019620e-01
4.40500000e-08,7.63019609e-01
4.41500000e-08,7.63019589e-01
4.42500000e-08,7.63019579e-01
4.43500000e-08,7.63019559e-01
4.44500000e-08,7.63019550e-01
4.45500000e-08,7.63019532e-01
4.46500000e-08,7.63019524e-01
4.47500000e-08,7.63019506e-01
4.48500000e-08,7.63019499e-01
4.49500000e-08,7.63019482e-01
4.50500000e-08,7.63019476e-01
4.51500000e-08,7.63019460e-01
4.52500000e-08,7.63019454e-01
4.53500000e-08,7.63019439e-01
4.54500000e-08,7.63019434e-01
4.55500000e-08,7.63019419e-01
4.56500000e-08,7.63019415e-01
4.57500000e-08,7.63019401e-01
4.58500000e-08,7.63019398e-01
4.59500000e-08,7.63019384e-01
4.60500000e-08,7.63019381e-01
4.61500000e-08,7.63019369e-01
4.62500000e-08,7.63019366e-01
4.63500000e-08,7.63019354e-01
4.64500000e-08,7.63019352e-01
4.65500000e-08,7.63019340e-01
4.66500000e-08,7.63019338e-01
4.67500000e-08,7.63019328e-01
4.68500000e-08,7.63019326e-01
4.69500000e-08,7.63019316e-01
4.70500000e-08,7.63019315e-01
4.71500000e-08,7.63019305e-01
4.72500000e-08,7.63019304e-01
4.73500000e-08,7.63019294e-01
4.74500000e-08,7.63019294e-01
4.75500000e-08,7.63019284e-01
4.76500000e-08,7.63019284e-01
4.77500000e-08,7.63019275e-01
4.78500000e-08,7.63019276e-01
4.79500000e-08,7.63019267e-01
4.80500000e-08,7.63019268e-01
4.81500000e-08,7.63019259e-01
4.82500000e-08,7.63019260e-01
4.83500000e-08,7.63019252e-01
4.84500000e-08,7.63019253e-01
4.85500000e-08,7.63019245e-01
4.86500000e-08,7.63019246e-01
4.87500000e-08,7.63019239e-01
4.88500000e-08,7.63019240e-01
4.89500000e-08,7.63019233e-01
4.90500000e-08,7.63019234e-01
4.91500000e-08,7.63019227e-01
4.92500000e-08,7.63019229e-01
4.93500000e-08,7.63019222e-01
4.94500000e-08,7.63019224e-01
4.95500000e-08,7.63019217e-01
4.96500000e-08,7.63019219e-01
4.97500000e-08,7.63019213e-01
4.98500000e-08,7.63019215e-01
4.99500000e-08,7.63019209e-01
5.00500000e-08,7.63019211e-01
5.01500000e-08,7.63019205e-01
5.02500000e-08,7.63019207e-01
5.03500000e-08,7.63019201e-01
5.04500000e-08,7.63019204e-01
5.05500000e-08,7.63019198e-01
5.06500000e-08,7.63019200e-01
5.07500000e-08,7.63019195e-01
5.08500000e-08,7.63019197e-01
5.09500000e-08,7.63019192e-01
5.10500000e-08,7.63019195e-01
5.11500000e-08,7.63019189e-01
5.12500000e-08,7.63019192e-01
5.13500000e-08,7.63019186e-01
5.14500000e-08,7.63019189e-01
5.15500000e-08,7.63019184e-01
5.16500000e-08,7.63019187e-01
5.17500000e-08,7.63019182e-01
5.18500000e-08,7.63019185e-01
5.19500000e-08,7.63019180e-01
5.20500000e-08,7.63019183e-01
5.21500000e-08,7.63019178e-01
5.22500000e-08,7.63019181e-01
5.23500000e-08,7.63019176e-01
5.24500000e-08,7.63019179e-01
5.25500000e-08,7.63019174e-01
5.26500000e-08,7.63019178e-01
5.27500000e-08,7.63019173e-01
5.28500000e-08,7.63019176e-01
5.29500000e-08,7.63019171e-01
5.30500000e-08,7.63019175e-01
5.31500000e-08,7.63019170e-01
5.32500000e-08,7.63019173e-01
5.33500000e-08,7.63019169e-01
5.34500000e-08,7.63019172e-01
5.35500000e-08,7.63019167e-01
5.36500000e-08,7.63019171e-01
5.37500000e-08,7.63019166e-01
5.38500000e-08,7.63019170e-01
5.39500000e-08,7.63019165e-01
5.40500000e-08,7.63019169e-01
5.41500000e-08,7.63019164e-01
5.42500000e-08,7.63019168e-01
5.43500000e-08,7.63019163e-01
5.44500000e-08,7.63019167e-01
5.45500000e-08,7.63019163e-01
5.46500000e-08,7.63019166e-01
5.47500000e-08,7.63019162e-01
5.48500000e-08,7.63019165e-01
5.49500000e-08,7.63019161e-01
5.50500000e-08,7.63019165e-01
5.51500000e-08,7.63019160e-01
5.52500000e-08,7.63019164e-01
5.53500000e-08,7.63019160e-01
5.54500000e-08,7.63019163e-01
5.55500000e-08,7.63019159e-01
5.56500000e-08,7.63019163e-01
5.57500000e-08,7.63019159e-01
5.58500000e-08,7.63019162e-01
5.59500000e-08,7.63019158e-01
5.60500000e-08,7.63019162e-01
5.61500000e-08,7.63019158e-01
5.62500000e-08,7.63019161e-01
5.63500000e-08,7.63019157e-01
5.64500000e-08,7.63019161e-01
5.65500000e-08,7.63019157e-01
5.66500000e-08,7.63019161e-01
5.67500000e-08,7.63019156e-01
5.68500000e-08,7.63019160e-01
5.69500000e-08,7.63019156e-01
5.70500000e-08,7.63019160e-01
5.71500000e-08,7.63019156e-01
5.72500000e-08,7.63019159e-01
5.73500000e-08,7.63019155e-01
5.74500000e-08,7.63019159e-01
5.75500000e-08,7.63019155e-01
5.76500000e-08,7.63019159e-01
5.77500000e-08,7.63019155e-01
5.78500000e-08,7.63019159e-01
5.79500000e-08,7.63019155e-01
5.80500000e-08,7.63019158e-01
5.81500000e-08,7.63019154e-01
5.82500000e-08,7.63019158e-01
